,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
3109843,101848440.0,rackerlabs/blueflood,False,,java,master,4.0,merge_found,,2015-08-15 21:47:51,25,17558,2016-01-12,passed,2.0,False,
3111477,101983140.0,searls/jasmine-maven-plugin,False,,java,master,1.0,build_found,84234060.0,2015-08-17 11:58:08,4,2017,2016-01-12,passed,13.0,,75.0
3117893,102515840.0,thatJavaNerd/JRAW,False,,java,master,1.0,build_found,102513150.0,2015-08-19 18:45:30,5,8356,2016-01-15,failed,1.0,True,216.0
3117907,102521250.0,dropwizard/dropwizard,False,,java,master,2.0,merge_found,,2015-08-19 18:45:30,31,16101,2016-01-15,passed,1.0,False,260.0
3119357,102606344.0,thatJavaNerd/JRAW,False,,java,master,1.0,build_found,102515840.0,2015-08-20 09:40:51,5,8356,2016-01-15,failed,0.0,True,225.0
3122990,102966310.0,caelum/mamute,False,,java,master,2.0,merge_found,,2015-08-21 13:24:11,4,15369,2016-01-17,failed,8.0,,
3124779,103123304.0,dropwizard/dropwizard,True,2016-01-18 14:44:12,java,master,2.0,build_found,103007070.0,2015-08-17 11:39:22,31,16106,2016-01-18,passed,0.0,False,305.0
3134325,103696900.0,rackerlabs/blueflood,True,2016-01-20 16:49:46,java,master,1.0,build_found,103686750.0,2015-08-24 11:50:18,25,17587,2016-01-20,passed,0.0,False,
3134391,103704136.0,rackerlabs/blueflood,True,2016-01-20 21:21:30,java,master,3.0,build_found,103224630.0,2015-08-26 08:24:09,25,17558,2016-01-22,passed,2.0,False,
3141144,104276000.0,igniterealtime/Smack,False,,java,master,9.0,merge_found,,2015-08-28 13:56:49,1,53401,2016-01-23,passed,5.0,,
3141542,104348400.0,psi-probe/psi-probe,False,,java,master,2.0,merge_found,,2015-08-28 14:50:03,7,13754,2016-01-23,passed,1.0,False,10.45
3145099,104640600.0,graphhopper/graphhopper,False,,java,master,1.0,build_found,104635416.0,2015-08-30 16:53:24,10,30435,2016-01-25,passed,4.0,,147.0
3145435,104675560.0,torakiki/pdfsam,False,,java,master,1.0,build_found,103574080.0,2015-08-30 18:26:37,3,11170,2016-01-25,passed,1.0,False,230.0
3145502,104681680.0,querydsl/querydsl,True,2016-01-25 16:49:26,java,master,3.0,build_found,104462696.0,2015-08-30 20:07:17,11,50789,2016-01-28,passed,2.0,,30.43
3145527,104683610.0,grpc/grpc-java,False,,java,master,1.0,build_found,104222990.0,2015-08-30 21:18:36,13,41762,2016-01-25,passed,1.0,,
3145576,104688820.0,rackerlabs/blueflood,True,2016-01-22 23:33:47,java,master,1.0,build_found,104208856.0,2015-08-30 21:39:55,25,17600,2016-01-25,passed,0.0,False,
3145622,104690300.0,querydsl/querydsl,False,,java,master,2.0,merge_found,,2016-01-20 19:04:32,11,50844,2016-01-25,errored,3.0,False,437.0
