,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
3095461,100701510.0,locomotivecms/engine,False,,ruby,master,1.0,build_found,100629944.0,2015-08-07 16:15:05,8,9449,2016-01-19,passed,2.0,False,
3095465,100703624.0,puppetlabs/facter,False,,ruby,master,6.0,merge_found,,2015-08-07 16:15:05,43,1131,2016-01-19,passed,7.0,,
3098077,100898550.0,feedbin/feedbin,False,,ruby,master,1.0,build_found,99841380.0,2015-08-07 15:15:52,3,9197,2016-01-27,errored,1.0,,
3098080,100898984.0,cheezy/page-object,False,,ruby,master,2.0,merge_found,,2015-08-07 15:15:52,3,6751,2016-01-27,passed,2.0,False,
3098218,100915980.0,heroku/heroku,False,,ruby,master,1.0,build_found,100866090.0,2015-08-10 18:11:37,35,7997,2016-01-07,passed,1.0,False,
3109849,101850980.0,hexorx/countries,False,,ruby,master,3.0,merge_found,,2015-08-15 21:47:51,4,243,2016-01-12,passed,1.0,False,
3115453,102320400.0,fog/fog,False,,ruby,master,2.0,merge_found,,2015-08-18 21:48:52,77,107347,2016-01-14,errored,2.0,False,
3115467,102322860.0,rapid7/metasploit-framework,True,2016-01-13 18:03:48,ruby,master,16.0,merge_found,,2015-08-18 21:55:38,94,600731,2016-01-27,passed,0.0,False,
3118229,102539740.0,savonrb/savon,False,,ruby,master,3.0,merge_found,,2015-08-19 21:05:36,6,1283,2016-01-15,errored,1.0,False,
3127988,103305160.0,openstreetmap/openstreetmap-website,False,,ruby,master,3.0,build_found,103151830.0,2015-08-20 22:43:32,3,12283,2016-01-19,passed,4.0,False,
3127989,103305170.0,asciinema/asciinema.org,False,,ruby,master,1.0,build_found,101616136.0,2015-08-04 13:55:40,2,2992,2016-01-19,passed,1.0,False,
3131454,103474100.0,heroku/heroku,False,,ruby,master,2.0,merge_found,,2015-08-25 10:04:00,34,8078,2016-01-19,passed,1.0,False,
3131716,103502090.0,heroku/heroku,False,,ruby,master,1.0,build_found,103501784.0,2015-08-25 12:22:39,34,8082,2016-01-20,passed,1.0,False,
3132216,103532056.0,openfoodfoundation/openfoodnetwork,False,,ruby,master,1.0,build_found,102532030.0,2015-08-25 15:53:26,18,19092,2016-01-20,passed,3.0,False,
3135211,103756050.0,matschaffer/knife-solo,True,2016-01-21 02:41:16,ruby,master,5.0,build_found,100518376.0,2015-08-26 14:11:05,5,1547,2016-01-28,errored,0.0,,
3136717,103927030.0,google/google-api-ruby-client,False,,ruby,master,2.0,merge_found,,2015-08-26 06:47:19,7,123188,2016-01-21,passed,22.0,False,
3137561,103982590.0,gavinlaking/vedeu,False,,ruby,master,20.0,merge_found,,2015-08-25 15:13:25,3,30472,2016-01-21,passed,2.0,False,
3137562,103982870.0,gavinlaking/vedeu,False,,ruby,master,1.0,build_found,103982590.0,2015-08-27 13:30:58,3,30472,2016-01-21,passed,1.0,False,
3144733,104621150.0,rapid7/metasploit-framework,True,2016-01-17 00:31:38,ruby,master,12.0,merge_found,,2015-08-30 07:58:02,93,600880,2016-02-11,passed,30.0,,
3144905,104632610.0,openSUSE/open-build-service,False,,ruby,master,1.0,build_found,104622230.0,2015-08-30 12:42:32,19,30799,2016-01-25,passed,27.0,,
3145086,104640260.0,openSUSE/open-build-service,False,,ruby,master,2.0,build_found,104635520.0,2015-08-30 16:53:24,19,30800,2016-01-25,passed,31.0,,
3145267,104659040.0,fog/fog,True,2016-01-15 12:17:11,ruby,master,5.0,build_found,102584390.0,2015-08-30 18:05:45,76,107347,2016-01-25,errored,0.0,False,
3145279,104659140.0,rpush/rpush,False,,ruby,master,1.0,build_found,104628770.0,2015-08-30 18:05:45,12,5120,2016-01-25,passed,13.0,False,
3145348,104665144.0,rpush/rpush,False,,ruby,master,1.0,build_found,104659140.0,2015-08-30 18:29:17,12,5120,2016-01-25,passed,4.0,False,
3145436,104675920.0,openSUSE/open-build-service,False,,ruby,master,1.0,build_found,104650650.0,2015-08-30 18:26:37,19,30800,2016-01-25,passed,30.0,,
3145440,104677670.0,twitter/twitter-cldr-rb,False,,ruby,master,11.0,merge_found,,2014-01-16 17:39:58,5,9681,2016-01-25,passed,2.0,False,
3145616,104689680.0,projectblacklight/blacklight,True,2016-01-25 17:19:27,ruby,master,2.0,build_found,104137530.0,2016-01-25 17:17:36,16,5123,2016-01-25,passed,1.0,False,
3145627,104691660.0,rails-api/active_model_serializers,True,2016-01-25 17:27:01,ruby,master,2.0,build_found,104494760.0,2016-01-25 17:01:25,47,1809,2016-01-26,passed,0.0,False,
3145689,104696140.0,projectblacklight/blacklight,True,2016-01-25 17:45:12,ruby,master,2.0,build_found,104137530.0,2016-01-25 17:45:01,16,5115,2016-01-25,passed,4.0,False,
3145712,104699544.0,refinery/refinerycms,False,,ruby,master,2.0,merge_found,,2015-08-27 21:57:44,19,6682,2016-01-25,passed,1.0,False,
3145736,104699750.0,projectblacklight/blacklight,False,,ruby,master,2.0,merge_found,,2015-08-31 00:32:38,16,5123,2016-01-25,passed,7.0,False,
3146217,104711290.0,google/google-api-ruby-client,False,,ruby,master,2.0,merge_found,,2016-01-22 20:03:05,7,132432,2016-01-25,passed,16.0,False,
